assessment_id,beneficiary_id,cohort_id,assessment_date,wave,score,max_score,assessor,subject
ASMT-000072,BEN-00036,COHORT-SC-001,2026-02-23,2,56.3,100,Tabitha Kiplagat,Literacy
ASMT-000073,BEN-00037,COHORT-SC-001,2025-11-21,1,81.4,100,Irene Musyoka,Numeracy
ASMT-000074,BEN-00037,COHORT-SC-001,2026-02-19,2,78.7,100,Harrison Achieng,Technical Skills
ASMT-000075,BEN-00038,COHORT-SC-001,2025-12-18,1,86.3,100,Olive Awino,Technical Skills
ASMT-000076,BEN-00038,COHORT-SC-001,18/03/2026,2,55.1,100,Aisha Odongo,Numeracy
ASMT-000077,BEN-00039,COHORT-SC-001,2025-11-27,1,61.8,100,Leonard Kiprotich,Literacy
ASMT-000078,BEN-00039,COHORT-SC-001,2026-02-21,2,59.6,100,Olive Kiprotich,Numeracy
ASMT-000079,BEN-00040,COHORT-SC-001,2025-12-19,1,69.6,100,Leonard Mugo,Life Skills
ASMT-000080,BEN-00040,COHORT-SC-001,2026-03-19,2,64.6,100,Irene Githinji,Life Skills
ASMT-000081,BEN-00041,COHORT-SC-001,2025-12-15,1,60.4,100,Hassan Githinji,Life Skills
ASMT-000082,BEN-00041,COHORT-SC-001,15/03/2026,2,64.2,100,Violet Otieno,Literacy
ASMT-000083,BEN-00042,COHORT-SC-001,2025-12-17,1,49.3,100,Tabitha Maina,Literacy
ASMT-000084,BEN-00042,COHORT-SC-001,2026-03-17,2,75.5,100,Nicholas Auma,Literacy
ASMT-000085,BEN-00043,COHORT-SC-001,2025-11-29,1,71.7,100,Amina Ochieng,Numeracy
ASMT-000086,BEN-00043,COHORT-SC-001,2026-02-27,2,70.3,100,Priscilla Mutinda,Literacy
ASMT-000087,BEN-00044,COHORT-SC-001,2025-12-17,1,93.1,100,Stephen Ochieng,Literacy
ASMT-000088,BEN-00044,COHORT-SC-001,2026-03-17,2,77.5,100,Priscilla Maina,Numeracy
ASMT-000089,BEN-00045,COHORT-SC-001,2025-12-11,1,62.6,100,Xavier Simiyu,Literacy
ASMT-000090,BEN-00045,COHORT-SC-001,11/03/2026,2,100.0,100,Quinton Kiprotich,Literacy
ASMT-000091,BEN-00046,COHORT-SC-001,2025-11-21,1,78.1,100,Olive Were,Technical Skills
ASMT-000092,BEN-00046,COHORT-SC-001,2026-02-19,2,58.2,100,Tabitha Kariuki,Literacy
ASMT-000093,BEN-00047,COHORT-SC-001,03-Dec-2025,1,100.0,100,Irene Maina,Literacy
ASMT-000094,BEN-00047,COHORT-SC-001,2026-03-03,2,50.6,100,Eunice Mugo,Life Skills
ASMT-000095,BEN-00048,COHORT-SC-001,2025-12-06,1,43.8,100,Olive Wangari,Literacy
ASMT-000096,BEN-00048,COHORT-SC-001,2026-03-06,2,73.7,100,Seun Njenga,Literacy
ASMT-000097,BEN-00049,COHORT-SC-001,2025-12-09,1,84.4,100,Violet Njoroge,Life Skills
ASMT-000098,BEN-00049,COHORT-SC-001,2026-03-09,2,80.8,100,Nicholas Otieno,Life Skills
ASMT-000099,BEN-00050,COHORT-SC-001,2025-12-03,1,100.0,100,,Numeracy
ASMT-000100,BEN-00050,COHORT-SC-001,2026-03-03,2,76.9,100,Tabitha Wanjiku,Technical Skills
ASMT-000101,BEN-00051,COHORT-SC-001,2025-12-03,1,84.6,100,Gladys Wangari,Numeracy
ASMT-000102,BEN-00051,COHORT-SC-001,2026-03-03,2,44.9,100,Boniface Wanjiku,Life Skills
ASMT-000103,BEN-00052,COHORT-SC-001,2025-12-03,1,70.2,100,Eunice Auma,Technical Skills
ASMT-000104,BEN-00052,COHORT-SC-001,2026-03-03,2,82.7,100,Gladys Wangari,Literacy
ASMT-000105,BEN-00053,COHORT-SC-001,2025-12-15,1,86.9,100,Violet Were,Numeracy
ASMT-000106,BEN-00053,COHORT-SC-001,2026-03-06,2,82.0,100,Eunice Ndung'u,Life Skills
ASMT-000107,BEN-00054,COHORT-SC-001,2025-12-10,1,49.1,100,Kezia Gichuki,Life Skills
ASMT-000108,BEN-00054,COHORT-SC-001,2026-03-10,2,53.3,100,Eunice Onyango,Numeracy
ASMT-000109,BEN-00055,COHORT-SC-001,2025-11-27,1,75.0,100,Quinton Kimani,Literacy
ASMT-000110,BEN-00055,COHORT-SC-001,2026-02-25,2,77.4,100,Xavier Kiplagat,Technical Skills
ASMT-000111,BEN-00056,COHORT-SC-001,05-Dec-2025,1,57.5,100,Grace Ndung'u,Technical Skills
ASMT-000112,BEN-00056,COHORT-SC-001,2026-03-05,2,79.3,100,Cynthia Kiprotich,Literacy
ASMT-000113,BEN-00057,COHORT-SC-001,2025-11-27,1,64.5,100,Priscilla Onyango,Literacy
ASMT-000114,BEN-00057,COHORT-SC-001,2026-02-25,2,100.0,100,Leonard Njenga,Literacy
ASMT-000115,BEN-00058,COHORT-SC-001,2025-11-27,1,62.5,100,Queen Ndung'u,Literacy
ASMT-000116,BEN-00058,COHORT-SC-001,2026-02-25,2,55.7,100,Gladys Chebet,Numeracy
ASMT-000117,BEN-00059,COHORT-SC-001,2025-12-07,1,55.4,100,Dennis Wanjiku,Numeracy
ASMT-000118,BEN-00059,COHORT-SC-001,2026-03-07,2,78.9,100,,Literacy
ASMT-000119,BEN-00060,COHORT-SC-001,18-Dec-2025,1,79.1,100,Stephen Mwangi,Life Skills
ASMT-000120,BEN-00060,COHORT-SC-001,18/03/2026,2,48.7,100,Owen Kimani,Literacy
ASMT-000121,BEN-00061,COHORT-SC-001,2025-12-16,1,76.0,100,Olive Rotich,Literacy
ASMT-000122,BEN-00061,COHORT-SC-001,2026-03-16,2,14.5,100,James Kiprotich,Literacy
ASMT-000123,BEN-00062,COHORT-SC-001,2025-11-28,1,79.4,100,Raphael Kamau,Numeracy
ASMT-000124,BEN-00062,COHORT-SC-001,2026-02-26,2,86.4,100,Kezia Onyango,Literacy
ASMT-000125,BEN-00063,COHORT-SC-001,2025-12-02,1,158.5,100,Raphael Njenga,Life Skills
ASMT-000126,BEN-00064,COHORT-SC-001,2025-12-16,1,60.8,100,Rose Ndung'u,Literacy
ASMT-000127,BEN-00064,COHORT-SC-001,2026-03-16,2,92.0,100,Olive Waweru,Technical Skills
ASMT-000128,BEN-00065,COHORT-SC-001,2025-11-20,1,85.3,100,Mary Nyambura,Literacy
ASMT-000129,BEN-00065,COHORT-SC-001,2026-02-18,2,59.8,100,Rose Gichuki,Life Skills
ASMT-000130,BEN-00066,COHORT-SC-001,2025-12-15,1,50.2,100,David Njoroge,Literacy
ASMT-000131,BEN-00067,COHORT-SC-001,2025-12-11,1,89.5,100,Patrick Awino,Technical Skills
ASMT-000132,BEN-00067,COHORT-SC-001,11-Mar-2026,2,44.5,100,Queen Mugo,Technical Skills
ASMT-000133,BEN-00068,COHORT-SC-001,11/12/2025,1,40.5,100,James Kiplagat,Numeracy
ASMT-000134,BEN-00068,COHORT-SC-001,11-Mar-2026,2,90.0,100,Stephen Waweru,Numeracy
ASMT-000135,BEN-00069,COHORT-SC-001,2025-11-21,1,210.0,100,Gladys Chebet,Technical Skills
ASMT-000136,BEN-00069,COHORT-SC-001,2026-02-19,2,65.7,100,Eunice Auma,Literacy
ASMT-000137,BEN-00070,COHORT-SC-001,2025-12-14,1,56.6,100,Olive Kiprotich,Technical Skills
ASMT-000138,BEN-00070,COHORT-SC-001,2026-03-14,2,51.6,100,Irene Chebet,Numeracy
ASMT-000139,BEN-00071,COHORT-SC-001,13/12/2025,1,68.3,100,Rose Odongo,Life Skills
ASMT-000140,BEN-00071,COHORT-SC-001,2026-03-13,2,79.2,100,Gladys Wanjiku,Life Skills
ASMT-000141,BEN-00072,COHORT-SC-001,2025-11-21,1,80.8,100,Patrick Otieno,Life Skills
ASMT-000142,BEN-00072,COHORT-SC-001,2026-03-19,2,80.2,100,Wanjiku Kimani,Life Skills
ASMT-000143,BEN-00073,COHORT-SC-001,2025-12-11,1,74.6,100,Owen Wanjiku,Numeracy
ASMT-000144,BEN-00073,COHORT-SC-001,2026-03-11,2,51.9,100,Mary Mwangi,Life Skills
ASMT-000145,BEN-00074,COHORT-SC-001,2025-11-25,1,36.6,100,Olive Rotich,Technical Skills
ASMT-000146,BEN-00074,COHORT-SC-001,2026-02-23,2,21.9,100,Francis Githinji,Life Skills
ASMT-000147,BEN-00075,COHORT-SC-001,2025-12-02,1,60.9,100,Francis Kiplagat,Technical Skills
ASMT-000148,BEN-00075,COHORT-SC-001,2026-03-02,2,55.8,100,Mary Kiplagat,Life Skills
ASMT-000149,BEN-00076,COHORT-SC-001,2025-12-17,1,76.6,100,Uchenna Kariuki,Numeracy
ASMT-000150,BEN-00076,COHORT-SC-001,2026-03-17,2,48.8,100,Boniface Ndung'u,Life Skills
ASMT-000151,BEN-00077,COHORT-SC-001,2025-12-06,1,54.4,100,Quinton Kimani,Numeracy
ASMT-000152,BEN-00077,COHORT-SC-001,2026-03-06,2,43.9,100,Hassan Mugo,Life Skills
ASMT-000153,BEN-00078,COHORT-SC-001,2025-12-12,1,95.2,100,Priscilla Wanjiku,Life Skills
ASMT-000154,BEN-00078,COHORT-SC-001,12-Mar-2026,2,61.6,100,Joseph Waweru,Technical Skills
ASMT-000155,BEN-00079,COHORT-SC-001,2025-12-15,1,57.4,100,James Nyambura,Technical Skills
ASMT-000156,BEN-00079,COHORT-SC-001,15-Mar-2026,2,78.1,100,Aisha Achieng,Literacy
ASMT-000157,BEN-00080,COHORT-SC-001,30-Nov-2025,1,57.2,100,Dennis Kiprotich,Technical Skills
ASMT-000158,BEN-00080,COHORT-SC-001,2026-02-28,2,63.5,100,Cynthia Kamau,Life Skills
ASMT-000159,BEN-00081,COHORT-SC-001,2025-12-08,1,90.0,100,Francis Ochieng,Literacy
ASMT-000160,BEN-00081,COHORT-SC-001,2026-03-08,2,51.5,100,Quinton Ochieng,Literacy
ASMT-000161,BEN-00082,COHORT-SC-001,2025-12-15,1,75.1,100,Dennis Njoroge,Literacy
ASMT-000162,BEN-00082,COHORT-SC-001,2026-03-15,2,33.6,100,Quinton Awino,Life Skills
ASMT-000163,BEN-00083,COHORT-SC-001,2025-12-20,1,46.0,100,Caroline Ochieng,Literacy
ASMT-000164,BEN-00083,COHORT-SC-001,2026-03-20,2,63.0,100,Uchenna Njenga,Literacy
ASMT-000165,BEN-00084,COHORT-SC-001,2025-12-12,1,77.9,100,Uchenna Kiplagat,Life Skills
ASMT-000166,BEN-00084,COHORT-SC-001,2026-03-12,2,62.5,100,Olive Were,Numeracy
ASMT-000167,BEN-00085,COHORT-SC-001,2025-11-27,1,81.2,100,Francis Odongo,Literacy
ASMT-000168,BEN-00085,COHORT-SC-001,2026-02-25,2,74.0,100,Lilian Rotich,Literacy
ASMT-000169,BEN-00086,COHORT-SC-001,2025-12-05,1,62.6,100,Tabitha Odongo,Literacy
ASMT-000170,BEN-00086,COHORT-SC-001,2026-03-05,2,39.0,100,Seun Wanjiku,Life Skills
ASMT-000171,BEN-00087,COHORT-SC-001,2025-12-01,1,57.9,100,Kezia Mutinda,Literacy
ASMT-000172,BEN-00087,COHORT-SC-001,2026-03-01,2,76.3,100,Amina Njenga,Life Skills
ASMT-000173,BEN-00088,COHORT-SC-001,2025-12-20,1,76.9,100,Owen Kiprotich,Life Skills
ASMT-000174,BEN-00088,COHORT-SC-001,20/03/2026,2,87.7,100,Boniface Were,Technical Skills
ASMT-000175,BEN-00089,COHORT-SC-001,2026-01-08,1,83.3,100,Queen Gichuki,Numeracy
ASMT-000176,BEN-00089,COHORT-SC-001,2026-03-14,2,93.2,100,Harrison Were,Literacy
ASMT-000177,BEN-00090,COHORT-SC-001,2025-12-01,1,92.4,100,Patrick Awino,Literacy
ASMT-000178,BEN-00090,COHORT-SC-001,2026-03-01,2,68.0,100,Raphael Mugo,Literacy
ASMT-000179,BEN-00091,COHORT-SC-001,2025-12-07,1,70.7,100,Irene Awino,Technical Skills
ASMT-000180,BEN-00091,COHORT-SC-001,2026-03-07,2,61.2,100,,Numeracy
ASMT-000181,BEN-00092,COHORT-SC-001,2025-11-29,1,74.9,100,Amina Auma,Life Skills
ASMT-000182,BEN-00092,COHORT-SC-001,2026-02-27,2,95.5,100,Irene Mwangi,Literacy
ASMT-000183,BEN-00093,COHORT-SC-001,2025-12-20,1,85.9,100,Xavier Kiplagat,Technical Skills
ASMT-000184,BEN-00093,COHORT-SC-001,2026-03-20,2,40.3,100,Irene Waweru,Technical Skills
ASMT-000185,BEN-00094,COHORT-SC-001,10/12/2025,1,61.4,100,Yvonne Onyango,Life Skills
ASMT-000186,BEN-00095,COHORT-SC-001,2025-12-09,1,100.0,100,Kendi Waweru,Technical Skills
ASMT-000187,BEN-00095,COHORT-SC-001,2026-03-09,2,92.1,100,Irene Mwangi,Literacy
ASMT-000188,BEN-00096,COHORT-SC-001,2025-12-19,1,62.4,100,,Literacy
ASMT-000189,BEN-00096,COHORT-SC-001,2026-03-19,2,58.5,100,Tabitha Kiplagat,Literacy
ASMT-000190,BEN-00097,COHORT-SC-001,2025-11-21,1,63.7,100,Tabitha Musyoka,Life Skills
ASMT-000191,BEN-00097,COHORT-SC-001,2026-02-19,2,31.1,100,Nicholas Mutinda,Life Skills
ASMT-000192,BEN-00098,COHORT-SC-001,2025-12-07,1,61.2,100,Queen Musyoka,Life Skills
ASMT-000193,BEN-00098,COHORT-SC-001,2026-03-07,2,82.2,100,Caroline Were,Literacy
ASMT-000194,BEN-00099,COHORT-SC-001,2025-12-05,1,54.4,100,Lilian Ochieng,Literacy
ASMT-000195,BEN-00099,COHORT-SC-001,2026-03-05,2,100.0,100,Kendi Kiplagat,Numeracy
ASMT-000196,BEN-00100,COHORT-SC-001,2025-11-22,1,43.5,100,Caroline Mwangi,Technical Skills
ASMT-000197,BEN-00100,COHORT-SC-001,2026-02-20,2,70.2,100,Amina Kiprotich,Life Skills
ASMT-000198,BEN-00101,COHORT-SC-001,2025-11-24,1,52.1,100,Mary Auma,Technical Skills
ASMT-000199,BEN-00101,COHORT-SC-001,2026-02-22,2,54.6,100,Patrick Kiprotich,Literacy
ASMT-000200,BEN-00102,COHORT-SC-001,2025-12-09,1,36.0,100,Priscilla Mugo,Life Skills
ASMT-000201,BEN-00103,COHORT-SC-001,2025-12-06,1,92.5,100,Boniface Otieno,Life Skills
ASMT-000202,BEN-00103,COHORT-SC-001,2026-03-06,2,66.7,100,James Nyambura,Literacy
ASMT-000203,BEN-00104,COHORT-SC-001,2025-12-13,1,81.9,100,Stephen Kariuki,Literacy
ASMT-000204,BEN-00104,COHORT-SC-001,13-Mar-2026,2,76.1,100,Uchenna Kiprotich,Literacy
ASMT-000205,BEN-00105,COHORT-SC-001,2025-12-08,1,81.7,100,Leonard Chebet,Life Skills
ASMT-000206,BEN-00105,COHORT-SC-001,2026-03-08,2,74.6,100,Irene Mwangi,Numeracy
ASMT-000207,BEN-00106,COHORT-SC-001,2025-12-19,1,79.2,100,Tabitha Awino,Literacy
ASMT-000208,BEN-00106,COHORT-SC-001,19-Mar-2026,2,39.3,100,Violet Achieng,Life Skills
ASMT-000209,BEN-00107,COHORT-SC-001,2025-12-05,1,54.1,100,Leonard Maina,Life Skills
ASMT-000210,BEN-00107,COHORT-SC-001,2026-03-05,2,71.2,100,Dennis Kimani,Technical Skills
ASMT-000211,BEN-00108,COHORT-SC-001,2025-11-30,1,87.5,100,Harrison Awino,Life Skills
ASMT-000212,BEN-00108,COHORT-SC-001,2026-02-28,2,73.5,100,Irene Kariuki,Numeracy
ASMT-000213,BEN-00109,COHORT-SC-001,2025-11-21,1,55.3,100,Kezia Njoroge,Numeracy
ASMT-000214,BEN-00109,COHORT-SC-001,2026-02-19,2,46.0,100,Francis Njenga,Numeracy
ASMT-000215,BEN-00110,COHORT-SC-001,2025-12-17,1,70.9,100,Seun Nyambura,Literacy
ASMT-000216,BEN-00110,COHORT-SC-001,2026-03-17,2,75.1,100,Owen Otieno,Numeracy
ASMT-000217,BEN-00111,COHORT-SC-001,2025-12-06,1,25.0,100,Joseph Were,Technical Skills
ASMT-000218,BEN-00111,COHORT-SC-001,2026-03-29,2,68.8,100,Queen Awino,Numeracy
ASMT-000219,BEN-00112,COHORT-SC-001,2025-12-07,1,78.3,100,Hassan Mugo,Technical Skills
ASMT-000220,BEN-00112,COHORT-SC-001,2026-03-07,2,92.1,100,Cynthia Awino,Life Skills
ASMT-000221,BEN-00113,COHORT-SC-001,2025-11-20,1,81.1,100,Harrison Wanjiku,Numeracy
ASMT-000222,BEN-00113,COHORT-SC-001,2026-02-18,2,93.1,100,Violet Adhiambo,Life Skills
ASMT-000223,BEN-00114,COHORT-SC-001,2025-11-27,1,83.2,100,Dennis Otieno,Numeracy
ASMT-000224,BEN-00114,COHORT-SC-001,25-Feb-2026,2,73.0,100,Irene Kimani,Technical Skills
ASMT-000225,BEN-00115,COHORT-SC-001,2025-12-06,1,67.0,100,Hassan Onyango,Life Skills
ASMT-000226,BEN-00115,COHORT-SC-001,2026-03-06,2,43.1,100,Dennis Omondi,Life Skills
ASMT-000227,BEN-00116,COHORT-SC-001,2025-11-26,1,63.5,100,Lilian Owino,Literacy
ASMT-000228,BEN-00116,COHORT-SC-001,2026-02-24,2,82.8,100,Hassan Onyango,Technical Skills
ASMT-000229,BEN-00117,COHORT-SC-001,2025-11-28,1,72.2,100,Raphael Mwangi,Life Skills
ASMT-000230,BEN-00117,COHORT-SC-001,2026-02-26,2,66.3,100,Owen Kiprotich,Life Skills
ASMT-000231,BEN-00118,COHORT-SC-001,2025-12-05,1,52.4,100,Leonard Githinji,Technical Skills
ASMT-000232,BEN-00118,COHORT-SC-001,2026-03-21,2,69.2,100,Zipporah Mwangi,Technical Skills
ASMT-000233,BEN-00119,COHORT-SC-001,2025-12-12,1,77.5,100,James Ndung'u,Literacy
ASMT-000234,BEN-00119,COHORT-SC-001,12/03/2026,2,88.0,100,Aisha Mutinda,Literacy
ASMT-000235,BEN-00120,COHORT-SC-001,13/12/2025,1,79.6,100,Irene Nyambura,Life Skills
ASMT-000236,BEN-00120,COHORT-SC-001,2026-03-13,2,53.9,100,Grace Owino,Technical Skills
ASMT-000237,BEN-00121,COHORT-SC-001,2025-11-24,1,57.9,100,Mary Kamau,Literacy
ASMT-000238,BEN-00121,COHORT-SC-001,2026-02-22,2,72.9,100,Kendi Auma,Numeracy
ASMT-000239,BEN-00122,COHORT-SC-001,2025-12-17,1,85.0,100,Zipporah Kamau,Literacy
ASMT-000240,BEN-00122,COHORT-SC-001,2026-03-17,2,75.3,100,Gladys Adhiambo,Life Skills
ASMT-000241,BEN-00123,COHORT-SC-001,2025-12-13,1,73.5,100,,Literacy
ASMT-000242,BEN-00123,COHORT-SC-001,2026-03-13,2,69.6,100,Grace Kimani,Numeracy
ASMT-000243,BEN-00124,COHORT-SC-001,2025-11-30,1,44.5,100,Priscilla Kiprotich,Life Skills
ASMT-000244,BEN-00124,COHORT-SC-001,2026-02-28,2,26.0,100,Cynthia Wangari,Technical Skills
ASMT-000245,BEN-00125,COHORT-SC-001,2025-12-17,1,86.8,100,Hassan Kimani,Life Skills
ASMT-000246,BEN-00125,COHORT-SC-001,2026-03-17,2,61.8,100,Cynthia Onyango,Life Skills
ASMT-000247,BEN-00126,COHORT-SC-001,2025-11-27,1,68.6,100,Joseph Otieno,Numeracy
ASMT-000248,BEN-00127,COHORT-SC-001,2025-12-15,1,63.0,100,Priscilla Kimani,Life Skills
ASMT-000249,BEN-00127,COHORT-SC-001,2026-03-15,2,85.5,100,Zipporah Wanjiku,Life Skills
ASMT-000250,BEN-00128,COHORT-SC-001,2025-12-06,1,50.3,100,Nicholas Kamau,Life Skills
ASMT-000251,BEN-00128,COHORT-SC-001,06/03/2026,2,57.0,100,Wanjiku Kiplagat,Technical Skills
ASMT-000252,BEN-00129,COHORT-SC-001,2025-12-09,1,51.1,100,Dennis Ndung'u,Life Skills
ASMT-000253,BEN-00129,COHORT-SC-001,09-Mar-2026,2,69.1,100,Amina Nyambura,Life Skills
