visit_id,beneficiary_id,cohort_id,visit_date,officer_name,visit_outcome,gps_latitude,gps_longitude,notes,follow_up_required
FV-000067,BEN-00041,COHORT-SC-001,2026-05-06,Francis Wangari,Verified,-1.36646,36.77611,Nostrum fugiat adipisci sed delectus distinctio reiciendis excepturi sunt praesentium.,False
FV-000068,BEN-00042,COHORT-SC-001,2025-10-22,Maurice Onyango,Verified,-1.23739,36.72707,Nam maxime deleniti dolores illo nam dolores.,False
FV-000069,BEN-00043,COHORT-SC-001,2026-07-24,Hassan Omondi,Verified,-1.21114,36.87043,Officia laudantium recusandae at dolore porro esse neque labore.,True
FV-000070,BEN-00044,COHORT-SC-001,2026-08-03,Stephen Rotich,Partially Verified,-1.2304,36.77755,Exercitationem voluptatum mollitia explicabo iste esse dolorem quam et quia.,True
FV-000071,BEN-00044,COHORT-SC-001,2025-11-29,Caroline Musyoka,Partially Verified,-1.26687,36.82958,Deleniti qui eius nihil quis nisi.,True
FV-000072,BEN-00045,COHORT-SC-001,2025-12-14,David Githinji,Verified,-1.24835,36.81339,Rerum eos facere esse provident.,True
FV-000073,BEN-00046,COHORT-SC-001,2025-09-15,Olive Kimani,Partially Verified,-1.29388,36.77407,Earum voluptate mollitia possimus commodi sit.,True
FV-000074,BEN-00046,COHORT-SC-001,2025-12-15,Wanjiku Mugo,Verified,-1.26086,36.80553,Aut accusamus eligendi laboriosam exercitationem vitae dolorum similique beatae.,
FV-000075,BEN-00047,COHORT-SC-001,2025-09-07,Owen Kamau,partial,-1.20723,36.75569,Id asperiores occaecati amet corrupti.,True
FV-000076,BEN-00048,COHORT-SC-001,2026-08-10,Esther Mutinda,No Contact,-1.21609,36.89834,Veniam assumenda dolorum nam impedit nisi nulla quod fugit tenetur.,False
FV-000077,BEN-00049,COHORT-SC-001,2026-07-02,Esther Odongo,Verified,-1.28552,36.87288,Similique voluptatibus esse numquam non qui veniam.,True
FV-000078,BEN-00049,COHORT-SC-001,2026-06-02,Stephen Omondi,Verified,-1.24915,36.89916,Numquam eaque aspernatur dolores mollitia culpa.,
FV-000079,BEN-00050,COHORT-SC-001,2026-08-20,Esther Kiplagat,Verified,-1.30969,36.86541,Ipsum nisi eos doloremque provident praesentium iste porro.,True
FV-000080,BEN-00050,COHORT-SC-001,31-Oct-2025,Irene Onyango,Verified,-1.3231,36.88057,Ratione numquam optio ut incidunt molestias officia.,True
FV-000081,BEN-00050,COHORT-SC-001,2025-11-13,Gladys Njenga,Verified,-1.2562,36.81821,Repudiandae architecto cumque esse quibusdam necessitatibus enim.,True
FV-000082,BEN-00051,COHORT-SC-001,2025-12-02,Queen Njoroge,Partially Verified,-1.38144,36.84309,Iusto esse illo earum molestiae ipsa.,True
FV-000083,BEN-00053,COHORT-SC-001,2026-06-19,Irene Auma,no contact,-1.35397,36.83698,Aliquam inventore eum dolorum at vitae saepe nemo veritatis voluptatum.,True
FV-000084,BEN-00054,COHORT-SC-001,2025-09-06,Gladys Mugo,Partially Verified,-1.1884,36.86674,Nemo quis cupiditate maxime ipsam eius voluptatum.,True
FV-000085,BEN-00057,COHORT-SC-001,2025-09-05,Seun Rotich,verified,-1.27551,36.81348,Odio laudantium at expedita ex pariatur similique ex possimus.,False
FV-000086,BEN-00057,COHORT-SC-001,2026-01-11,Joseph Kiplagat,Verified,-1.20034,36.82185,Optio id quis alias at dolorum blanditiis.,
FV-000087,BEN-00058,COHORT-SC-001,2026-02-06,Quinton Ndung'u,Verified,-1.35569,36.88808,Sint repudiandae a sit iure amet maxime numquam.,True
FV-000088,BEN-00058,COHORT-SC-001,2026-01-04,Gladys Adhiambo,partial,-1.32887,36.91493,Numquam quis dignissimos molestias unde ipsa praesentium commodi voluptate.,False
FV-000089,BEN-00059,COHORT-SC-001,2026-04-12,Felix Adhiambo,Verified,-1.30107,36.79417,Reiciendis quae est accusamus illum dolore sapiente beatae veniam officia.,False
FV-000090,BEN-00059,COHORT-SC-001,2026-02-27,Brian Wanjiku,Verified,-1.31926,36.86004,Libero quaerat magni earum rerum voluptatem.,True
FV-000091,BEN-00060,COHORT-SC-001,2026-02-06,Joseph Kiplagat,Verified,-1.3303,36.73027,Itaque corporis deleniti nobis quia consequatur architecto.,False
FV-000092,BEN-00060,COHORT-SC-001,23/06/2026,Harrison Kiprotich,Referred,-1.27921,36.9155,Excepturi ratione eaque a quas saepe neque optio sint.,False
FV-000093,BEN-00061,COHORT-SC-001,2026-04-06,Xavier Awino,No Contact,-1.31682,36.86999,Molestiae exercitationem mollitia molestiae iste eum deleniti possimus nemo.,True
FV-000094,BEN-00061,COHORT-SC-001,2025-10-26,Priscilla Waweru,Verified,-1.37496,36.77896,Sequi illum et labore totam fugit voluptates.,True
FV-000095,BEN-00062,COHORT-SC-001,2026-04-20,Harrison Auma,Verified,-1.36718,36.72805,Libero alias magnam nihil sit soluta.,True
FV-000096,BEN-00063,COHORT-SC-001,05-Oct-2025,Mary Mugo,Verified,-1.25287,36.74578,Aut tenetur accusamus corporis sit voluptas asperiores quos eaque.,
FV-000097,BEN-00063,COHORT-SC-001,2025-12-24,David Mutua,Partially Verified,-1.34066,36.73195,Possimus officiis sequi sequi similique fugit et quaerat quis sit alias.,True
FV-000098,BEN-00064,COHORT-SC-001,2026-01-03,Olive Njenga,Referred,-1.24889,36.78385,Doloremque placeat enim dolorem at.,
FV-000099,BEN-00065,COHORT-SC-001,2025-09-18,Kezia Githinji,Verified,-1.32419,36.86392,Quis provident aut cumque error.,True
FV-000100,BEN-00065,COHORT-SC-001,2026-04-30,Xavier Kamau,Verified,-1.37242,36.90051,Aliquid recusandae eos fugiat corporis.,False
FV-000101,BEN-00067,COHORT-SC-001,2025-10-01,Stephen Ndung'u,partial,-1.23337,36.74937,Illum placeat debitis cupiditate non fugit placeat libero nesciunt doloremque.,False
FV-000102,BEN-00067,COHORT-SC-001,2026-01-18,Kezia Ndung'u,Verified,-1.2893,36.86536,Itaque pariatur tempore iure enim molestias asperiores.,True
FV-000103,BEN-00068,COHORT-SC-001,2025-10-18,Stephen Kiprotich,Verified,-1.27466,36.76936,Voluptates error vitae porro itaque error voluptatum sequi.,True
FV-000104,BEN-00069,COHORT-SC-001,2026-01-10,Seun Rotich,partial,-1.36778,36.79079,Dolores nemo nemo voluptatibus eos.,True
FV-000105,BEN-00069,COHORT-SC-001,2026-06-12,Olive Mwangi,Verified,-1.33915,36.83973,Earum natus placeat quia aliquid non libero temporibus.,False
FV-000106,BEN-00069,COHORT-SC-001,2025-09-05,Uchenna Musyoka,Verified,-1.2758,36.74464,Quod dolorem reiciendis dolor deleniti dolorum quidem.,False
FV-000107,BEN-00070,COHORT-SC-001,2026-06-05,Amina Adhiambo,Verified,-1.26561,36.82528,Occaecati temporibus officia est ipsam neque.,
FV-000108,BEN-00071,COHORT-SC-001,2026-05-20,Eunice Auma,Verified,-1.27852,36.82979,At eos quibusdam cupiditate consequatur molestiae.,
FV-000109,BEN-00071,COHORT-SC-001,2025-12-20,Tabitha Waweru,Partially Verified,-1.34431,36.73245,Minus totam rerum ducimus repudiandae laboriosam rem quia.,True
FV-000110,BEN-00071,COHORT-SC-001,2025-12-19,Hassan Maina,Verified,-1.34678,36.71903,Rem iusto asperiores quidem dolorem perspiciatis perferendis id.,True
FV-000111,BEN-00073,COHORT-SC-001,2026-02-28,Amina Rotich,Verified,-1.36471,36.88274,Facilis ratione accusamus modi iste perferendis perferendis nesciunt reprehenderit velit.,
FV-000112,BEN-00073,COHORT-SC-001,2025-12-25,Queen Odongo,No Contact,-1.35633,36.83756,Perferendis iusto nulla velit eveniet.,
FV-000113,BEN-00074,COHORT-SC-001,2025-08-26,Olive Githinji,Verified,-1.2975,36.74225,Dolore aperiam reprehenderit tenetur error illum consequuntur veniam esse laudantium atque.,True
FV-000114,BEN-00074,COHORT-SC-001,2025-11-11,Grace Onyango,no contact,-1.38453,36.87968,Consequatur iste perferendis quia veniam in quia culpa impedit aut.,False
FV-000115,BEN-00075,COHORT-SC-001,2026-05-04,Olive Musyoka,Verified,-1.35482,36.8111,Nulla vel eius porro dolor ipsam doloremque facilis voluptatem.,False
FV-000116,BEN-00076,COHORT-SC-001,18/02/2026,Kendi Kamau,Partially Verified,-1.24024,36.77218,Molestias voluptate facere id deleniti commodi sed iste.,
FV-000117,BEN-00076,COHORT-SC-001,2025-11-02,Boniface Kariuki,Partially Verified,-1.33091,36.87168,Odit nisi accusantium ratione doloribus commodi.,False
FV-000118,BEN-00076,COHORT-SC-001,2025-08-22,Felix Were,Verified,-1.21813,36.89881,Dignissimos rerum mollitia nesciunt repellat doloremque quo ratione nisi eius.,True
FV-000119,BEN-00077,COHORT-SC-001,2025-11-18,Stephen Maina,Verified,-1.19623,36.85322,Voluptates molestiae reiciendis beatae sint consectetur.,True
FV-000120,BEN-00078,COHORT-SC-001,2025-12-29,Joseph Wanjiku,Verified,-1.22322,36.82724,Ratione dolores eum cupiditate amet qui minima quia.,
FV-000121,BEN-00079,COHORT-SC-001,2026-03-13,Hassan Kiprotich,No Contact,-1.37644,36.84197,Ipsum facere nisi iste dolore nostrum quas tenetur omnis.,True
FV-000122,BEN-00079,COHORT-SC-001,2026-02-21,Irene Mwangi,Verified,-1.34633,36.82307,Itaque vitae aperiam laboriosam illo placeat laudantium.,
FV-000123,BEN-00080,COHORT-SC-001,2026-08-11,Leonard Wangari,Verified,-1.33739,36.78636,Asperiores aspernatur non aperiam eius odio molestias eveniet voluptatum.,False
FV-000124,BEN-00081,COHORT-SC-001,2025-10-20,Raphael Waweru,Verified,-1.38083,36.75869,Eos magni inventore recusandae beatae omnis soluta mollitia sint inventore.,True
FV-000125,BEN-00081,COHORT-SC-001,2026-01-16,Xavier Kariuki,Partially Verified,-1.31812,36.767,Impedit repudiandae id quas est est ducimus.,
FV-000126,BEN-00082,COHORT-SC-001,2026-04-01,Rose Owino,No Contact,-1.37025,36.83675,Porro labore at assumenda inventore quia.,True
FV-000127,BEN-00082,COHORT-SC-001,2025-09-13,Xavier Githinji,Verified,,36.7622,Repellat nam nesciunt natus eveniet commodi explicabo pariatur.,True
FV-000128,BEN-00083,COHORT-SC-001,2026-03-10,Harrison Odongo,Verified,-1.28224,36.8439,Sint quam voluptas nobis expedita neque distinctio omnis dolore.,
FV-000129,BEN-00084,COHORT-SC-001,03/04/2026,Amina Chebet,Verified,-1.23599,36.84245,Expedita nam beatae eius dolorem.,True
FV-000130,BEN-00085,COHORT-SC-001,20/09/2025,Raphael Odongo,Verified,-1.31844,36.77398,Sapiente voluptate repellendus nostrum odit ad ut repudiandae eaque.,True
FV-000131,BEN-00085,COHORT-SC-001,2026-05-31,Rose Onyango,Verified,-1.24442,36.88091,Earum quis ullam expedita delectus corporis.,
FV-000132,BEN-00086,COHORT-SC-001,22/11/2025,Eunice Otieno,Verified,-1.36984,36.80346,Architecto qui voluptas at minus fugiat iste culpa.,
FV-000133,BEN-00086,COHORT-SC-001,07/05/2026,Brian Chebet,Partially Verified,-1.28255,36.77337,Quam quod necessitatibus assumenda amet culpa nulla.,True
FV-000134,BEN-00087,COHORT-SC-001,19-Dec-2025,Amina Rotich,Verified,-1.38081,36.86569,Earum optio laborum ipsam earum.,False
FV-000135,BEN-00087,COHORT-SC-001,2025-09-18,Xavier Onyango,Verified,-1.36532,36.83253,Beatae inventore eligendi perspiciatis laborum pariatur aliquid hic nobis ab.,False
FV-000136,BEN-00087,COHORT-SC-001,2025-11-05,Priscilla Achieng,Verified,-1.36334,36.86692,Veniam quisquam quisquam enim blanditiis libero inventore.,
FV-000137,BEN-00088,COHORT-SC-001,2026-06-23,Eunice Onyango,Verified,-1.22078,36.72537,Fugit provident magnam rerum rem asperiores.,
FV-000138,BEN-00089,COHORT-SC-001,2026-02-28,Francis Awino,partial,-1.32841,36.81973,Ipsa itaque aspernatur est inventore.,False
FV-000139,BEN-00089,COHORT-SC-001,2026-04-23,Eunice Kiplagat,Verified,-1.2108,36.87839,Quae in beatae accusantium eveniet reiciendis nulla rerum.,
FV-000140,BEN-00090,COHORT-SC-001,2026-02-26,Priscilla Kiprotich,Verified,-1.35441,36.82336,At sapiente doloribus nihil minima id est excepturi.,True
FV-000141,BEN-00091,COHORT-SC-001,2026-01-12,Francis Achieng,Verified,-1.22565,36.77524,Quod asperiores odio minus deserunt quod expedita vero.,
FV-000142,BEN-00091,COHORT-SC-001,2026-02-12,Raphael Awino,Referred,-1.24951,36.82528,Dolores corporis deserunt nobis quis omnis.,
FV-000143,BEN-00091,COHORT-SC-001,2026-08-18,Seun Achieng,partial,-1.24721,36.86289,Veritatis occaecati iure natus neque perspiciatis.,True
FV-000144,BEN-00092,COHORT-SC-001,2025-10-24,Raphael Nyambura,Partially Verified,-1.34145,36.7866,Officia voluptates eum voluptas et ipsam iusto occaecati recusandae nihil.,True
FV-000145,BEN-00093,COHORT-SC-001,12/08/2026,Uchenna Githinji,No Contact,-1.25796,36.75923,Magni est iste animi rerum asperiores sint sequi.,
FV-000146,BEN-00094,COHORT-SC-001,2025-08-26,Irene Kimani,Verified,-1.22,36.81308,Nisi fugit neque veritatis qui aliquam tenetur nemo deleniti non magnam.,False
FV-000147,BEN-00095,COHORT-SC-001,2026-02-09,Esther Auma,Partially Verified,-1.26326,36.72725,Ipsum repellat saepe voluptatem assumenda.,
FV-000148,BEN-00095,COHORT-SC-001,2026-05-15,Zipporah Chebet,Verified,-1.327,36.8182,Aliquam provident voluptatibus minima non facilis.,True
FV-000149,BEN-00095,COHORT-SC-001,2026-02-02,Caroline Owino,Verified,-1.20088,36.84557,Harum quo perspiciatis amet occaecati ex ex.,False
FV-000150,BEN-00096,COHORT-SC-001,2026-03-26,Cynthia Wangari,Verified,-1.33793,36.73368,Perspiciatis eligendi quam omnis temporibus sit ex nesciunt consequuntur expedita.,False
FV-000151,BEN-00098,COHORT-SC-001,2025-09-21,Eunice Mutua,Partially Verified,-1.29794,36.74157,Consectetur quae assumenda nam officia eveniet consectetur praesentium.,False
FV-000152,BEN-00099,COHORT-SC-001,2026-07-14,Violet Were,Verified,-1.2647,36.75933,Atque perferendis magni accusantium est veritatis exercitationem quisquam deleniti voluptatum.,False
FV-000153,BEN-00099,COHORT-SC-001,2025-09-17,Caroline Awino,Verified,-1.18834,36.72121,Aspernatur sapiente aut quo rerum sunt.,False
FV-000154,BEN-00099,COHORT-SC-001,2025-11-03,David Awino,Verified,-1.21268,36.82013,Optio soluta nulla nisi culpa.,False
FV-000155,BEN-00100,COHORT-SC-001,2025-10-06,Eunice Nyambura,Verified,-1.31452,36.87189,Rerum quo repellat cumque ipsa illum.,False
FV-000156,BEN-00100,COHORT-SC-001,28-Aug-2025,Eunice Wanjiku,Verified,-1.29595,36.82075,Voluptas nostrum quibusdam quos doloremque dolores vitae.,True
FV-000157,BEN-00100,COHORT-SC-001,22-Mar-2026,Olive Wangari,Verified,-1.29388,36.89878,Temporibus deserunt perspiciatis necessitatibus ipsam quo quod magnam in.,True
FV-000158,BEN-00102,COHORT-SC-001,2025-11-12,Caroline Achieng,Referred,-1.32267,36.76433,Repellendus reiciendis consequuntur dolorum odit soluta.,
FV-000159,BEN-00102,COHORT-SC-001,2026-01-08,David Musyoka,Verified,-1.3806,36.74769,Vel quae maiores commodi assumenda cum ipsum maiores rerum at.,False
FV-000160,BEN-00103,COHORT-SC-001,2026-01-21,Brian Wangari,Partially Verified,-1.22554,36.74964,Repellendus suscipit ut impedit id fugiat harum.,False
FV-000161,BEN-00104,COHORT-SC-001,2026-03-01,Cynthia Mutinda,Verified,-1.20199,36.89811,Fugiat adipisci ut saepe officiis.,
FV-000162,BEN-00104,COHORT-SC-001,2026-01-24,Cynthia Mutua,Verified,-1.21427,36.90962,Consequuntur enim rerum possimus consequuntur provident.,False
FV-000163,BEN-00105,COHORT-SC-001,2025-10-07,Olive Onyango,no contact,-1.36643,36.74249,Nostrum temporibus accusantium dolor corrupti velit non incidunt quod.,
FV-000164,BEN-00105,COHORT-SC-001,2026-03-21,Zipporah Awino,Partially Verified,-1.37006,36.80612,Error aliquid in recusandae itaque beatae temporibus.,False
FV-000165,BEN-00105,COHORT-SC-001,2026-03-15,Grace Mugo,Verified,-1.22856,36.80502,Modi odio nemo quaerat eos a explicabo necessitatibus deleniti pariatur.,False
FV-000166,BEN-00106,COHORT-SC-001,2026-08-05,Joseph Odongo,Verified,-1.2828,36.8525,Voluptate architecto minima magni voluptates mollitia hic iusto odio voluptatem.,True
FV-000167,BEN-00107,COHORT-SC-001,2026-06-17,Boniface Njoroge,Verified,-1.24556,36.76926,Quibusdam explicabo architecto dolores omnis aut neque.,
FV-000168,BEN-00107,COHORT-SC-001,2025-09-03,Joseph Adhiambo,no contact,-1.35396,36.83224,Consequatur explicabo excepturi odit rerum placeat voluptatem laboriosam.,
